Rank,Country,Internet Users (2016),Penetration (% of Pop),Population (2016),Non-Users (internetless),Users 1 Year Change (%),Internet Users 1 Year Change,Population 1 Year Change
1,China,"721,434,547 ",52.2 % ,"1,382,323,332","660,888,785",2.2 %,"15,520,515",0.46 %
2,India,"462,124,989 ",34.8 % ,"1,326,801,576","864,676,587",30.5 %,"108,010,242",1.2 %
3,U.S.,"286,942,362 ",88.5 % ,"324,118,787","37,176,425",1.1 %,"3,229,955",0.73 %
4,Brazil,"139,111,185 ",66.4 % ,"209,567,920","70,456,735",5.1 %,"6,753,879",0.83 %
5,Japan,"115,111,595 ",91.1 % ,"126,323,715","11,212,120",0.1 %,"117,385",-0.2 %
6,Russia,"102,258,256 ",71.3 % ,"143,439,832","41,181,576",0.3 %,"330,067",-0.01 %
7,Nigeria,"86,219,965 ",46.1 % ,"186,987,563","100,767,598",5 %,"4,124,967",2.63 %
8,Germany,"71,016,605 ",88 % ,"80,682,351","9,665,746",0.6 %,"447,557",-0.01 %
9,U.K.,"60,273,385 ",92.6 % ,"65,111,143","4,837,758",0.9 %,"555,411",0.61 %
10,Mexico,"58,016,997 ",45.1 % ,"128,632,004","70,615,007",2.1 %,"1,182,988",1.27 %
11,France,"55,860,330 ",86.4 % ,"64,668,129","8,807,799",1.4 %,"758,852",0.42 %
12,Indonesia,"53,236,719 ",20.4 % ,"260,581,100","207,344,381",6.5 %,"3,232,544",1.17 %
13,Viet Nam,"49,063,762 ",52 % ,"94,444,200","45,380,438",3.3 %,"1,564,346",1.07 %
14,Turkey,"46,196,720 ",58 % ,"79,622,062","33,425,342",5.1 %,"2,242,750",1.22 %
15,Philippines,"44,478,808 ",43.5 % ,"102,250,133","57,771,325",4.4 %,"1,855,574",1.54 %
16,South Korea,"43,274,132 ",85.7 % ,"50,503,933","7,229,801",1.2 %,"522,375",0.42 %
17,Italy,"39,211,518 ",65.6 % ,"59,801,004","20,589,486",1.7 %,"666,922",0.01 %
18,Iran,"39,149,103 ",48.9 % ,"80,043,146","40,894,043",7.7 %,"2,784,831",1.18 %
19,Spain,"37,865,104 ",82.2 % ,"46,064,604","8,199,500",2.2 %,"805,002",-0.12 %
20,Pakistan,"34,342,400 ",17.8 % ,"192,826,502","158,484,102",9.7 %,"3,024,054",2.07 %
21,Canada,"32,120,519 ",88.5 % ,"36,286,378","4,165,859",1.8 %,"559,167",0.96 %
22,Egypt,"30,835,256 ",33 % ,"93,383,574","62,548,318",3.3 %,"990,548",2.05 %
23,Argentina,"30,359,855 ",69.2 % ,"43,847,277","13,487,422",3.1 %,"904,688",0.99 %
24,Thailand,"29,078,158 ",42.7 % ,"68,146,609","39,068,451",6.2 %,"1,708,982",0.28 %
25,South Africa,"28,580,290 ",52 % ,"54,978,907","26,398,617",3.9 %,"1,078,982",0.9 %
26,Poland,"27,922,152 ",72.4 % ,"38,593,161","10,671,009",2.5 %,"670,522",-0.05 %
27,Colombia,"27,664,747 ",56.9 % ,"48,654,392","20,989,645",4.9 %,"1,296,764",0.88 %
28,Bangladesh,"21,439,070 ",13.2 % ,"162,910,864","141,471,794",10.4 %,"2,018,395",1.19 %
29,Kenya,"21,248,977 ",45 % ,"47,251,449","26,002,472",3.7 %,"763,171",2.61 %
30,Malaysia,"21,090,777 ",68.6 % ,"30,751,602","9,660,825",2.2 %,"453,560",1.39 %
31,Saudi Arabia,"20,813,695 ",64.7 % ,"32,157,974","11,344,279",2.8 %,"561,748",1.96 %
32,Australia,"20,679,490 ",85.1 % ,"24,309,330","3,629,840",1.7 %,"350,522",1.42 %
33,Morocco,"20,068,556 ",57.6 % ,"34,817,065","14,748,509",1.7 %,"342,534",1.28 %
34,Ukraine,"19,678,089 ",44.1 % ,"44,624,373","24,946,284",0.4 %,"68,947",-0.44 %
35,Venezuela,"18,254,349 ",57.9 % ,"31,518,855","13,264,506",2.1 %,"380,889",1.32 %
36,Netherlands,"15,915,076 ",93.7 % ,"16,979,729","1,064,653",0.6 %,"98,813",0.32 %
37,Uzbekistan,"15,453,227 ",51 % ,"30,300,446","14,847,219",6.1 %,"893,596",1.36 %
38,Chile,"14,108,392 ",77.8 % ,"18,131,850","4,023,458",3.3 %,"444,149",1.02 %
39,Peru,"13,036,965 ",41 % ,"31,774,225","18,737,260",1.9 %,"244,248",1.27 %
40,Romania,"11,236,186 ",58 % ,"19,372,734","8,136,548",1.4 %,"155,259",-0.71 %
41,Sudan,"10,886,813 ",26.4 % ,"41,175,541","30,288,728",4.5 %,"471,726",2.34 %
42,Belgium,"10,060,745 ",88.5 % ,"11,371,928","1,311,183",1.9 %,"184,645",0.64 %
43,Kazakhstan,"9,961,519 ",55.8 % ,"17,855,384","7,893,865",1.8 %,"176,681",1.31 %
44,Czech Republic,"9,323,428 ",88.4 % ,"10,548,058","1,224,630",3.2 %,"285,731",0.05 %
45,Sweden,"9,169,705 ",93.1 % ,"9,851,852","682,147",1 %,"94,636",0.74 %
46,United Arab Emirates,"8,515,420 ",91.9 % ,"9,266,971","751,551",1.7 %,"143,340",1.2 %
47,Ghana,"7,958,675 ",28.4 % ,"28,033,375","20,074,700",14 %,"976,984",2.27 %
48,Algeria,"7,937,913 ",19.7 % ,"40,375,954","32,438,041",4.3 %,"329,755",1.79 %
49,Hungary,"7,874,733 ",80.2 % ,"9,821,318","1,946,585",1.2 %,"95,696",-0.34 %
50,Uganda,"7,645,197 ",19 % ,"40,322,768","32,677,571",5.5 %,"395,857",3.31 %
51,Switzerland,"7,302,714 ",87.2 % ,"8,379,477","1,076,763",1 %,"74,342",0.97 %
52,Greece,"7,072,534 ",64.8 % ,"10,919,459","3,846,925",0.4 %,"29,742",-0.32 %
53,Ecuador,"7,055,575 ",43.1 % ,"16,385,450","9,329,875",1.5 %,"106,663",1.49 %
54,Austria,"6,953,400 ",81.1 % ,"8,569,633","1,616,233",0.3 %,"23,810",0.29 %
55,Portugal,"6,930,762 ",67.3 % ,"10,304,434","3,373,672",0.8 %,"54,608",-0.44 %
56,Yemen,"6,773,228 ",24.7 % ,"27,477,600","20,704,372",5.2 %,"332,117",2.41 %
57,Sri Lanka,"6,087,164 ",29.3 % ,"20,810,816","14,723,652",4.2 %,"247,259",0.46 %
58,Azerbaijan,"6,027,647 ",61.1 % ,"9,868,447","3,840,800",1.2 %,"72,153",1.17 %
59,Angola,"5,951,453 ",23 % ,"25,830,958","19,879,505",5.7 %,"323,337",3.23 %
60,Israel,"5,941,174 ",72.5 % ,"8,192,463","2,251,289",2.1 %,"119,516",1.59 %
61,Belarus,"5,786,572 ",61 % ,"9,481,521","3,694,949",0.9 %,"49,737",-0.15 %
62,Dominican Republic,"5,513,852 ",51.8 % ,"10,648,613","5,134,761",2.5 %,"133,844",1.14 %
63,Syria,"5,502,250 ",29.6 % ,"18,563,595","13,061,345",2 %,"106,142",0.33 %
64,Denmark,"5,479,054 ",96.3 % ,"5,690,750","211,696",0.5 %,"25,936",0.38 %
65,Tunisia,"5,472,618 ",48.1 % ,"11,375,220","5,902,602",2.4 %,"126,113",1.08 %
66,Hong Kong,"5,442,101 ",74.1 % ,"7,346,248","1,904,147",0.6 %,"32,335",0.8 %
67,Norway,"5,167,573 ",98 % ,"5,271,958","104,385",1.7 %,"87,185",1.17 %
