,Country,Dist.,Release Date,Opening Wknd,% of Total,Total Gross,As of
0,Argentina,Disney,4/23/15,"$4,219,198",45.5%,"$9,280,502",6/21/15
1,Australia,Disney,4/23/15,"$12,296,515",39.7%,"$30,969,152",6/14/15
2,Austria,Disney,4/23/15,"$928,359",22.7%,"$4,086,924",6/28/15
3,Bahrain,-,4/30/15,"$319,153",56.7%,"$562,690",5/17/15
4,Belgium,Disney,4/22/15,"$964,862",29.1%,"$3,313,943",7/19/15
5,Bolivia,Disney,4/30/15,"$837,003",36.7%,"$2,278,266",6/28/15
6,Brazil,Disney,4/23/15,"$12,621,463",26.4%,"$47,862,465",10/18/15
7,Bulgaria,Disney,4/24/15,"$194,722",30.2%,"$645,121",5/31/15
8,Chile,Disney,4/30/15,"$2,490,893",35.9%,"$6,942,365",6/21/15
9,China,-,5/11/15,"$155,750,000",64.9%,"$240,110,000",6/14/15
10,Colombia,Disney,4/30/15,"$3,824,585",38.4%,"$9,955,023",6/14/15
11,Croatia,Disney,4/30/15,"$153,418",44%,"$348,389",6/14/15
12,Czech Republic,Falcon,4/30/15,"$838,946",41.7%,"$2,011,520",6/14/15
13,Denmark,Disney,4/23/15,"$1,462,982",32%,"$4,578,163",8/2/15
14,Ecuador,Disney,4/30/15,"$2,076,390",37.1%,"$5,590,716",6/21/15
15,Egypt,Disney,4/29/15,"$299,960",24.6%,"$1,218,558",7/19/15
16,Estonia,Disney,5/1/15,"$118,599",45.4%,"$261,445",5/31/15
17,Finland,Disney,4/22/15,"$424,849",31.7%,"$1,338,700",5/10/15
18,France,Disney,4/22/15,"$12,467,255",36.4%,"$34,270,887",6/7/15
19,Germany,Disney,4/23/15,"$9,360,948",30%,"$31,193,932",7/12/15
20,Greece,Disney,4/30/15,"$772,676",43.5%,"$1,776,109",5/31/15
21,Hong Kong,Disney,4/23/15,"$6,391,455",37.3%,"$17,155,906",6/28/15
22,Hungary,Forum,5/7/15,"$807,040",40.7%,"$1,980,532",6/21/15
23,Iceland,Disney,4/23/15,"$99,400",26.7%,"$371,887",6/21/15
24,India,Disney,4/24/15,"$7,668,237",45.9%,"$16,695,001",5/24/15
25,Israel,Disney,4/23/15,"$762,651",37.7%,"$2,021,296",6/7/15
26,Italy,-,4/23/15,"$7,751,190",42.8%,"$18,120,047",5/31/15
27,Japan,Disney,7/4/15,"$6,450,874",24.5%,"$26,373,434",8/23/15
28,Jordan,-,4/30/15,"$134,455",37.2%,"$361,851",7/19/15
29,Kenya,Disney,4/30/15,"$156,523",49.3%,"$317,574",6/7/15
30,Latvia,-,5/1/15,"$77,549",39.7%,"$195,571",6/21/15
31,Lebanon,Disney,4/30/15,"$269,622",49.7%,"$542,714",7/5/15
32,Lithuania,-,5/1/15,"$69,951",39.7%,"$176,271",10/18/15
33,Malaysia,Disney,4/23/15,"$4,996,525",37.3%,"$13,390,227",8/2/15
34,Mexico,Disney,4/30/15,"$18,689,287",36.7%,"$50,940,433",6/28/15
35,Netherlands,Disney,4/23/15,"$1,413,055",25.9%,"$5,465,221",6/7/15
36,New Zealand,Disney,4/23/15,"$2,044,709",110.6%,"$1,848,154",2/10/19
37,Nigeria,-,5/1/15,"$203,814",74.6%,"$273,301",7/5/15
38,Norway,Disney,4/22/15,"$1,065,873",22.3%,"$4,770,579",6/14/15
39,Oman,-,4/30/15,"$286,417",79.7%,"$359,221",5/24/15
40,Peru,Disney,4/30/15,"$3,277,630",46.7%,"$7,025,935",6/28/15
41,Philippines,Disney,4/22/15,"$7,365,190",52.2%,"$14,097,441",6/7/15
42,Poland,Disney,5/7/15,"$1,379,910",34.8%,"$3,967,269",6/28/15
43,Portugal,Disney,4/29/15,"$697,966",37.9%,"$1,841,706",6/14/15
44,Romania,Disney,4/24/15,"$382,531",33.6%,"$1,137,226",5/17/15
45,Russia - CIS,Dis./Sony,4/23/15,"$16,042,816",46.7%,"$34,319,424",5/31/15
46,Serbia & Montenegro,Taramount,4/30/15,"$48,605",25.5%,"$190,746",7/12/15
47,Singapore,Disney,4/23/15,"$3,561,440",36%,"$9,904,467",9/20/15
48,Slovakia,-,4/30/15,"$288,328",49%,"$588,510",6/14/15
49,Slovenia,-,5/1/15,"$49,325",40.3%,"$122,335",5/31/15
50,South Africa,SterKine,4/24/15,"$1,020,613",31.1%,"$3,276,734",6/21/15
51,South Korea,-,4/23/15,"$23,060,916",29.5%,"$78,286,828",5/31/15
52,Spain,Disney,4/30/15,"$4,866,691",35.7%,"$13,640,131",8/2/15
