,Country,Dist.,Release Date,Opening Wknd,% of Total,Total Gross,As of
0,Argentina,Disney,4/26/18,"$5,437,240",33%,"$16,477,070",12/9/18
1,Australia,Disney,4/25/18,"$16,101,807",34.4%,"$46,825,158",11/11/18
2,Austria,Disney,4/26/18,"$1,886,847",33.2%,"$5,690,732",8/26/18
3,Belgium,Disney,4/25/18,"$1,854,939",32.8%,"$5,654,123",9/30/18
4,Bolivia,WB,4/26/18,"$913,486",28.9%,"$3,166,034",6/24/18
5,Brazil,Disney,4/26/18,"$19,062,450",28.6%,"$66,684,469",12/23/18
6,Bulgaria,Forum,4/27/18,"$319,492",32.5%,"$982,669",6/24/18
7,Chile,Disney,4/26/18,"$4,525,397",31%,"$14,607,578",8/12/18
8,China,Disney,5/11/18,"$191,034,859",53.1%,"$359,543,153",7/8/18
9,Colombia,Disney,4/26/18,"$4,682,630",35.3%,"$13,268,925",10/28/18
10,Croatia,2i Film,4/26/18,"$281,454",36.6%,"$769,917",7/1/18
11,Czech Republic,Falcon,4/26/18,"$1,674,394",38%,"$4,400,723",7/22/18
12,Denmark,Disney,4/25/18,"$2,950,623",43.1%,"$6,853,155",8/26/18
13,Finland,Disney,4/25/18,"$1,437,118",42.6%,"$3,376,481",9/30/18
14,France,Disney,4/25/18,"$17,645,304",37%,"$47,689,983",12/23/18
15,Germany,Disney,4/26/18,"$15,301,422",33.7%,"$45,398,141",12/9/18
16,Greece,Feelgood,4/26/18,"$1,046,575",37.1%,"$2,820,813",6/24/18
17,Hong Kong,Disney,4/25/18,"$8,043,759",39.1%,"$20,585,253",7/22/18
18,Hungary,Forum,4/26/18,"$1,228,462",38.7%,"$3,172,176",8/12/18
19,Iceland,Samfilm,4/27/18,"$216,702",31.5%,"$688,359",6/24/18
20,India,Disney,4/27/18,"$18,464,603",42.4%,"$43,594,456",6/10/18
21,Indonesia,Disney,4/25/18,"$11,414,539",45.1%,"$25,288,929",6/10/18
22,Italy,Disney,4/25/18,"$7,384,164",32.3%,"$22,837,545",8/19/18
23,Japan,Disney,4/27/18,"$9,075,979",26.8%,"$33,881,648",6/17/18
24,Lithuania,Sony,4/27/18,"$160,693",39.6%,"$406,233",9/30/18
25,Malaysia,Disney,4/25/18,"$8,387,335",48.4%,"$17,325,511",7/15/18
26,Mexico,Disney,4/27/18,"$25,382,566",42.3%,"$60,058,771",7/8/18
27,Netherlands,Disney,4/25/18,"$3,830,456",34.5%,"$11,097,966",1/6/19
28,New Zealand,Disney,4/25/18,"$2,748,779",38.8%,"$7,092,223",2/24/19
29,Norway,Disney,4/25/18,"$1,620,456",28.5%,"$5,693,803",11/25/18
30,Paraguay,Filmagic,4/26/18,"$433,387",38.9%,"$1,114,669",6/17/18
31,Philippines,Disney,4/25/18,"$12,500,128",53.7%,"$23,295,180",6/17/18
32,Poland,Disney,4/26/18,"$2,563,813",34.8%,"$7,367,423",8/12/18
33,Portugal,-,4/26/18,"$1,175,436",41.6%,"$2,823,586",7/1/18
34,Romania,Forum,4/27/18,"$822,798",33%,"$2,494,062",7/15/18
35,Russia - CIS,Disney,5/3/18,"$18,193,251",52.6%,"$34,597,189",1/13/19
36,Serbia & Montenegro,Taramount,5/3/18,"$247,112",88.2%,"$280,036",5/9/18
37,Singapore,Disney,4/25/18,"$4,679,612",38.4%,"$12,195,638",12/30/18
38,Slovakia,Saturn,4/26/18,"$605,120",46.4%,"$1,304,762",8/19/18
39,Slovenia,2i Film,4/26/18,"$109,785",33.7%,"$325,818",6/17/18
40,South Africa,SterKine,4/27/18,"$2,050,302",36.9%,"$5,552,131",7/29/18
41,South Korea,Disney,4/25/18,"$39,173,384",44.3%,"$88,506,046",11/4/18
42,Spain,Disney,4/27/18,"$8,637,415",34.8%,"$24,809,385",11/18/18
43,Sweden,Disney,4/25/18,"$3,749,830",46.4%,"$8,074,716",9/9/18
44,Switzerland,Disney,4/25/18,"$2,083,416",37.5%,"$5,553,658",9/2/18
45,Taiwan,Disney,4/25/18,"$9,803,289",45.4%,"$21,588,140",7/1/18
46,Thailand,Disney,4/25/18,"$9,941,722",55.4%,"$17,944,798",6/10/18
47,Turkey,UIP,4/27/18,"$2,566,580",45.1%,"$5,696,347",7/22/18
48,Ukraine,Disney,4/26/18,"$1,372,912",37.6%,"$3,654,152",9/2/18
49,United Arab Emirates,Disney,4/26/18,-,-,"$10,070,159",9/30/18
50,United Kingdom,Disney,4/26/18,"$41,447,361",42.9%,"$96,640,433",9/30/18
51,Uruguay,Disney,4/26/18,"$307,882",37.7%,"$816,628",9/23/18
52,Venezuela,Disney,4/27/18,"$1,787,030",29.3%,"$6,093,475",7/29/18
