,Country,Dist.,Release Date,Opening Wknd,% of Total,Total Gross,As of
0,Argentina,Disney,2/15/18,"$1,600,889",52.3%,"$3,059,469",11/25/18
1,Australia,Disney,2/15/18,"$8,323,490",26.1%,"$31,939,868",10/14/18
2,Austria,Disney,2/15/18,"$801,532",28.2%,"$2,839,865",8/19/18
3,Belgium,Disney,2/14/18,"$1,234,874",32.1%,"$3,851,510",6/3/18
4,Bolivia,WB,2/15/18,"$283,193",21.6%,"$1,312,260",5/6/18
5,Brazil,Disney,2/15/18,"$9,539,422",25.8%,"$36,942,425",10/28/18
6,Bulgaria,Forum,2/16/18,"$188,715",29.5%,"$640,668",4/15/18
7,Chile,Disney,2/15/18,"$1,156,408",23.4%,"$4,942,845",5/13/18
8,China,Disney,3/9/18,"$65,131,851",62%,"$105,062,459",4/8/18
9,Colombia,Disney,2/15/18,"$1,895,472",27.9%,"$6,797,886",2/3/19
10,Croatia,2i Film,2/15/18,-,-,"$446,454",4/8/18
11,Czech Republic,Falcon,2/15/18,"$688,746",32.7%,"$2,104,610",4/22/18
12,Denmark,Disney,2/15/18,"$1,295,969",27%,"$4,801,806",6/10/18
13,Finland,Disney,2/16/18,"$432,022",19.6%,"$2,202,472",7/1/18
14,France,Disney,2/14/18,"$7,627,163",23%,"$33,114,492",9/16/18
15,Germany,Disney,2/15/18,"$5,860,941",25.1%,"$23,392,484",9/30/18
16,Greece,Feelgood,2/15/18,"$339,643",27.5%,"$1,236,996",4/29/18
17,Hong Kong,Disney,2/13/18,"$3,781,994",43.8%,"$8,636,071",4/22/18
18,Hungary,Forum,2/15/18,"$549,584",35.1%,"$1,565,256",5/20/18
19,Iceland,Samfilm,2/16/18,"$145,544",29.2%,"$499,124",5/20/18
20,India,Disney,2/16/18,"$3,874,526",36.3%,"$10,668,490",4/15/18
21,Indonesia,Disney,2/14/18,"$6,223,814",50%,"$12,448,743",3/25/18
22,Italy,Disney,2/14/18,"$2,913,258",32.5%,"$8,953,417",8/19/18
23,Japan,Disney,3/1/18,"$2,929,314",20%,"$14,655,352",8/26/18
24,Lithuania,-,2/16/18,"$71,125",30.6%,"$232,647",4/1/18
25,Malaysia,Disney,2/14/18,"$4,713,624",46%,"$10,251,556",5/20/18
26,Mexico,Disney,2/16/18,"$9,207,156",32.5%,"$28,322,788",5/6/18
27,Netherlands,Disney,2/14/18,"$2,396,540",24%,"$9,975,474",7/15/18
28,New Zealand,Disney,2/15/18,"$1,473,480",29.6%,"$4,970,091",2/24/19
29,Norway,Disney,2/14/18,"$902,177",21.3%,"$4,245,447",7/1/18
30,Paraguay,Filmagic,2/15/18,"$114,039",30.3%,"$376,976",5/6/18
31,Philippines,Disney,2/14/18,"$4,951,865",50.8%,"$9,743,847",4/22/18
32,Poland,Disney,2/14/18,"$1,277,362",35.5%,"$3,601,530",7/1/18
33,Portugal,-,2/15/18,"$548,863",27.9%,"$1,966,013",3/3/19
34,Romania,Forum,2/16/18,"$561,368",29.1%,"$1,927,259",5/20/18
35,Russia - CIS,Disney,2/22/18,"$955,026",5%,"$19,265,532",7/1/18
36,Serbia & Montenegro,Taramount,2/15/18,-,-,"$309,632",3/28/18
37,Singapore,Disney,2/14/18,"$2,838,403",38.2%,"$7,429,588",8/12/18
38,Slovakia,Saturn,2/15/18,"$280,903",40.7%,"$690,443",4/15/18
39,Slovenia,2i Film,2/15/18,"$52,844",24.7%,"$213,891",4/29/18
40,South Africa,SterKine,2/16/18,"$1,449,905",18.1%,"$8,000,254",6/17/18
41,South Korea,Disney,2/14/18,"$25,332,202",59.1%,"$42,859,368",5/20/18
42,Spain,Disney,2/16/18,"$3,017,030",31%,"$9,716,813",9/16/18
43,Sweden,Disney,2/14/18,"$1,893,988",25.5%,"$7,440,220",7/8/18
44,Switzerland,Disney,2/14/18,"$982,966",25.6%,"$3,840,989",7/8/18
45,Taiwan,Disney,2/13/18,"$5,581,020",43.7%,"$12,778,780",5/20/18
46,Thailand,Disney,2/14/18,"$4,479,091",49.8%,"$8,996,694",4/8/18
47,Turkey,UIP,2/16/18,"$976,866",37.7%,"$2,589,069",4/22/18
48,Ukraine,Disney,2/15/18,"$974,941",44.2%,"$2,203,288",9/2/18
49,United Arab Emirates,Disney,2/15/18,"$2,215,607",31.8%,"$6,971,750",5/13/18
50,United Kingdom,Disney,2/13/18,"$24,916,429",35.3%,"$70,631,008",10/7/18
51,Uruguay,Disney,2/15/18,"$77,965",26.5%,"$294,091",9/23/18
52,Venezuela,Disney,2/23/18,"$108,373",10.6%,"$1,023,582",6/10/18
