,Country,Dist.,Release Date,Opening Wknd,% of Total,Total Gross,As of
0,Argentina,PPI,7/28/11,"$1,671,565",47.3%,"$3,537,279",9/25/11
1,Australia,PPI,7/28/11,"$5,061,705",45.6%,"$11,108,979",9/4/11
2,Austria,UPI,8/19/11,"$223,071",30.9%,"$721,073",10/2/11
3,Belgium,UPI,8/17/11,"$290,395",28.1%,"$1,034,834",10/16/11
4,Bolivia,PPI,7/28/11,"$113,065",30.6%,"$369,499",9/11/11
5,Brazil,PPI,7/29/11,"$6,885,568",33.3%,"$20,681,912",8/28/11
6,Bulgaria,UIP,7/29/11,"$48,655",20.1%,"$242,275",9/11/11
7,Chile,UIP,7/28/11,"$584,785",36.1%,"$1,619,307",8/28/11
8,Colombia,UIP,7/29/11,"$1,159,116",41.7%,"$2,777,753",9/18/11
9,Croatia,UIP,7/28/11,"$52,789",39.3%,"$134,319",9/11/11
10,Cyprus,-,8/26/11,-,-,n/a,N/A
11,Czech Republic,Bontonfilm,8/4/11,"$141,998",40.3%,"$352,470",9/11/11
12,Denmark,UIP,8/11/11,-,-,"$1,053,304",9/11/11
13,East Africa,UIP,8/12/11,"$12,547",29.9%,"$41,927",9/18/11
14,Ecuador,UIP,7/29/11,"$518,898",34.8%,"$1,490,660",10/9/11
15,Egypt,UIP,8/31/11,"$46,407",42%,"$110,427",10/2/11
16,Estonia,Forum,7/29/11,"$34,737",35.9%,"$96,669",8/21/11
17,Finland,Finnkino,8/19/11,"$107,424",34.4%,"$312,658",9/18/11
18,France,PPI,8/17/11,"$3,339,680",32.5%,"$10,284,742",9/18/11
19,Germany,PPI,8/18/11,"$1,911,675",39.2%,"$4,872,496",9/25/11
20,Ghana,UPI,8/12/11,"$6,784",37.8%,"$17,950",9/11/11
21,Greece,UIP,9/1/11,"$338,651",44.1%,"$767,589",9/18/11
22,Hong Kong,Intercon,8/4/11,"$1,216,837",48.7%,"$2,496,235",9/11/11
23,Hungary,UIP,8/4/11,"$208,160",41.1%,"$505,909",8/28/11
24,Iceland,UIP,7/27/11,"$47,602",23.4%,"$203,750",9/4/11
25,India,PPI,8/12/11,"$121,605",100%,"$121,605",8/14/11
26,Indonesia,UIP,9/9/11,"$1,058,251",51.7%,"$2,046,208",10/23/11
27,Israel,UIP,8/4/11,"$251,527",34.8%,"$723,196",9/11/11
28,Italy,UIP,7/22/11,"$2,827,021",32.9%,"$8,601,080",9/18/11
29,Japan,PPI,10/15/11,"$1,152,746",33.6%,"$3,431,374",10/30/11
30,Latvia,Baltic,7/29/11,"$17,113",26.5%,"$64,654",8/28/11
31,Lebanon,UIP,9/1/11,-,-,"$173,417",9/25/11
32,Lithuania,Forum,7/29/11,"$21,077",37.6%,"$56,082",8/14/11
33,Malaysia,UIP,7/28/11,"$1,538,846",51.3%,"$2,999,710",9/11/11
34,Mexico,PPI,7/29/11,"$8,089,424",40%,"$20,224,903",9/18/11
35,Netherlands,UPI,7/28/11,"$536,712",32.9%,"$1,632,726",8/28/11
36,New Zealand,PPI,7/28/11,"$742,790",50.7%,"$1,466,314",9/4/11
37,Nigeria,-,8/12/11,"$26,046",43.3%,"$60,118",10/9/11
38,Norway,UIP,8/12/11,"$477,017",33.7%,"$1,413,442",9/25/11
39,Panama,-,7/29/11,-,-,n/a,N/A
40,Peru,PPI,7/28/11,"$1,145,193",48%,"$2,388,006",11/13/11
41,Philippines,UIP,7/27/11,"$2,103,025",58.8%,"$3,577,307",9/4/11
42,Poland,UIP,8/5/11,"$191,496",42.2%,"$453,329",8/14/11
43,Portugal,Lusomundo,8/4/11,"$511,143",33.9%,"$1,508,941",10/9/11
44,Romania,RI 2000,8/5/11,"$98,267",35.3%,"$278,732",9/18/11
45,Russia - CIS,Cent Part,7/28/11,"$4,232,347",49%,"$8,638,710",10/30/11
46,Serbia & Montenegro,UIP,7/28/11,"$7,869",24%,"$32,734",10/2/11
47,Singapore,UIP,7/28/11,"$1,691,249",47.6%,"$3,556,722",9/4/11
48,Slovakia,Tatrafilm,8/4/11,-,-,"$94,550",8/14/11
49,Slovenia,UIP,7/28/11,"$16,789",24.4%,"$68,827",8/28/11
50,South Africa,UIP,8/5/11,"$390,436",37.5%,"$1,041,847",10/23/11
51,South Korea,CJ Ent.,7/28/11,"$2,058,497",54%,"$3,814,179",8/7/11
52,Spain,PPI,8/5/11,"$2,535,436",32.9%,"$7,714,453",10/9/11
53,Sweden,UIP,8/12/11,"$502,855",33.4%,"$1,504,719",9/25/11
54,Switzerland,-,8/17/11,-,-,n/a,N/A
55,Taiwan,UIP,7/29/11,"$1,286,917",20.4%,"$6,322,666",8/28/11
56,Thailand,UIP,7/28/11,"$1,122,215",45.2%,"$2,484,526",8/28/11
57,Turkey,UIP,9/2/11,"$373,116",34.5%,"$1,081,033",1/8/12
58,Ukraine,B and H,7/28/11,"$271,938",43.9%,"$619,293",8/14/11
59,United Arab Emirates,-,9/1/11,"$553,310",41.6%,"$1,329,656",10/9/11
60,United Kingdom,PPI,7/29/11,"$4,899,096",33.2%,"$14,752,839",10/9/11
61,Uruguay,Paramount,7/29/11,"$31,143",33.8%,"$92,170",9/4/11
62,Venezuela,UIP,1/20/12,"$308,508",28.5%,"$1,081,258",2/26/12
63,Vietnam,-,7/29/11,"$206,885",35.3%,"$585,504",8/21/11
