,Country,Dist.,Release Date,Opening Wknd,% of Total,Total Gross,As of
0,Argentina,Disney,3/27/14,"$1,513,822",33.1%,"$4,575,831",6/1/14
1,Australia,Disney,4/3/14,"$5,631,472",30.6%,"$18,390,356",5/25/14
2,Austria,Disney,3/27/14,"$382,750",28.4%,"$1,345,894",4/27/14
3,Belgium,WB,3/26/14,"$445,050",26.6%,"$1,675,926",6/8/14
4,Bolivia,Disney,3/27/14,"$217,232",27.1%,"$801,888",5/18/14
5,Brazil,Disney,4/10/14,"$6,899,637",24.4%,"$28,319,218",8/10/14
6,Bulgaria,Disney,4/4/14,"$103,116",27.7%,"$372,510",5/25/14
7,Chile,Disney,3/27/14,"$705,758",31%,"$2,278,502",6/1/14
8,China,China Film,4/4/14,"$38,810,000",33.6%,"$115,620,000",5/4/14
9,Colombia,Disney,3/28/14,"$1,466,765",48.1%,"$3,047,666",8/26/18
10,Croatia,Disney,4/3/14,"$59,911",33.5%,"$179,012",5/18/14
11,Czech Republic,Falcon,4/3/14,"$281,039",29.1%,"$966,467",5/18/14
12,Denmark,Disney,3/26/14,-,-,"$1,891,273",5/4/14
13,East Africa,Disney,3/28/14,"$49,789",30.3%,"$164,529",6/1/14
14,Ecuador,Disney,3/28/14,"$1,030,566",33.8%,"$3,051,240",6/22/14
15,Egypt,Disney,4/2/14,"$98,081",23.2%,"$423,545",6/1/14
16,Finland,Disney,3/26/14,"$211,490",25.6%,"$825,586",5/18/14
17,France,Disney,3/26/14,"$6,058,468",35.9%,"$16,891,973",5/4/14
18,Germany,Disney,3/27/14,"$3,664,761",29.4%,"$12,477,139",5/18/14
19,Greece,Disney,4/3/14,"$326,293",31%,"$1,051,962",5/11/14
20,Hong Kong,Disney,4/3/14,"$2,795,802",38.3%,"$7,292,579",6/1/14
21,Hungary,Forum,4/10/14,"$357,017",34.1%,"$1,046,447",5/18/14
22,Iceland,Disney,4/4/14,"$74,112",31.6%,"$234,458",5/25/14
23,India,Disney,4/4/14,"$2,073,613",49%,"$4,234,349",4/13/14
24,Israel,Disney,4/3/14,-,-,"$1,223,804",5/11/14
25,Italy,Disney,3/26/14,"$3,604,319",37%,"$9,732,200",5/4/14
26,Japan,Disney,4/19/14,"$1,936,549",29.2%,"$6,628,830",5/18/14
27,Lebanon,Disney,4/3/14,"$130,851",42%,"$311,894",5/4/14
28,Malaysia,Disney,3/27/14,"$3,572,296",42.5%,"$8,404,017",6/22/14
29,Mexico,Disney,3/28/14,"$8,596,889",33.4%,"$25,720,282",5/25/14
30,Netherlands,Disney,3/27/14,"$719,166",27.5%,"$2,615,386",5/11/14
31,New Zealand,Disney,4/3/14,"$843,502",124.9%,"$675,152",2/10/19
32,Nigeria,-,3/28/14,"$69,744",100%,"$69,744",3/30/14
33,Norway,Disney,3/26/14,"$476,278",25.9%,"$1,836,203",6/15/14
34,Peru,Disney,3/27/14,"$1,232,187",40.5%,"$3,045,013",6/22/14
35,Philippines,Disney,3/26/14,"$3,464,755",49.2%,"$7,048,065",5/4/14
36,Poland,Disney,3/26/14,"$337,394",24.4%,"$1,382,916",4/27/14
37,Portugal,-,3/27/14,-,-,"$1,048,121",4/27/14
38,Russia - CIS,Disney,4/3/14,"$7,735,715",51.7%,"$14,948,380",5/4/14
39,Serbia & Montenegro,Disney,4/10/14,"$21,196",29%,"$73,124",5/25/14
40,Singapore,Disney,3/27/14,"$2,399,271",39.9%,"$6,012,468",5/25/14
41,Slovakia,Saturn,4/3/14,"$87,487",35.6%,"$245,956",4/27/14
42,Slovenia,Disney,4/3/14,"$23,707",29.3%,"$80,914",5/18/14
43,South Africa,SterKine,3/28/14,"$408,113",29%,"$1,409,597",5/18/14
44,South Korea,Disney,3/26/14,"$8,893,540",29.5%,"$30,177,601",5/11/14
45,Spain,Disney,3/28/14,"$2,930,173",37.7%,"$7,763,694",6/29/14
46,Sweden,Disney,3/26/14,"$662,301",31.2%,"$2,123,252",5/18/14
47,Thailand,Disney,4/3/14,"$2,203,589",43.4%,"$5,078,880",5/18/14
48,Turkey,UIP,4/11/14,"$698,591",29.6%,"$2,363,940",6/8/14
49,Ukraine,Disney,4/3/14,"$407,915",48.2%,"$846,367",5/11/14
50,United Arab Emirates,Disney,4/3/14,"$1,774,956",45.1%,"$3,932,053",6/1/14
51,United Kingdom,Disney,3/26/14,"$10,045,775",31.2%,"$32,230,026",5/25/14
52,Uruguay,Disney,3/27/14,"$62,713",29.5%,"$212,788",5/4/14
53,Venezuela,Disney,3/28/14,"$1,309,107",13%,"$10,076,143",6/22/14
