,Country,Dist.,Release Date,Opening Wknd,% of Total,Total Gross,As of
0,Argentina,Disney,7/31/14,"$1,845,744",39.7%,"$4,651,901",11/2/14
1,Australia,Disney,8/7/14,"$6,081,439",26.1%,"$23,291,983",10/19/14
2,Austria,Disney,8/28/14,"$664,375",26.2%,"$2,531,070",10/26/14
3,Belgium,Disney,8/13/14,"$757,924",26.6%,"$2,844,222",11/23/14
4,Bolivia,Disney,7/31/14,-,-,"$795,969",10/12/14
5,Brazil,Disney,7/31/14,"$5,269,935",31.3%,"$16,820,519",11/9/14
6,Bulgaria,Disney,8/8/14,"$115,504",21.1%,"$547,822",10/19/14
7,Chile,Disney,7/31/14,"$642,660",23.7%,"$2,715,355",11/16/14
8,China,HuaXia,10/10/14,"$30,070,000",34.8%,"$86,346,366",5/7/17
9,Colombia,Disney,8/7/14,"$1,595,060",66.9%,"$2,383,127",9/2/18
10,Croatia,Disney,7/31/14,"$51,906",16.8%,"$308,536",9/28/14
11,Czech Republic,Falcon,7/31/14,"$278,042",23.8%,"$1,170,173",12/21/14
12,Denmark,Disney,7/31/14,"$739,842",28%,"$2,646,542",9/14/14
13,East Africa,Disney,8/1/14,"$39,453",25.7%,"$153,454",11/9/14
14,Ecuador,Disney,8/1/14,"$468,054",28.6%,"$1,639,145",10/5/14
15,Egypt,Disney,8/13/14,"$84,097",22.3%,"$376,549",10/12/14
16,Finland,Disney,8/1/14,"$300,958",21.9%,"$1,376,093",10/26/14
17,France,Disney,8/13/14,"$6,575,781",33.1%,"$19,894,500",9/28/14
18,Germany,Disney,8/28/14,"$6,867,135",27.9%,"$24,601,759",11/9/14
19,Ghana,Disney,8/1/14,-,-,"$4,878",8/24/14
20,Greece,Disney,9/4/14,"$236,485",33.6%,"$703,988",9/28/14
21,Hong Kong,Disney,7/31/14,"$1,291,940",38.9%,"$3,325,123",10/12/14
22,Hungary,Forum,8/14/14,"$502,638",30.9%,"$1,625,312",10/19/14
23,Iceland,Disney,7/30/14,"$72,768",17.2%,"$423,971",10/5/14
24,India,Disney,8/8/14,"$897,661",38%,"$2,365,347",9/7/14
25,Israel,Disney,7/31/14,"$377,605",19.9%,"$1,900,924",10/5/14
26,Italy,Disney,10/22/14,"$2,996,138",42.7%,"$7,011,889",11/16/14
27,Japan,Disney,9/13/14,"$2,088,181",22%,"$9,504,440",10/19/14
28,Kenya,Disney,8/1/14,-,-,"$154,232",11/16/14
29,Lebanon,Disney,8/14/14,"$72,430",40.1%,"$180,532",8/31/14
30,Malaysia,Disney,7/31/14,"$2,736,414",47.2%,"$5,803,492",10/19/14
31,Mexico,Disney,8/1/14,"$6,747,444",34.3%,"$19,648,542",9/21/14
32,Netherlands,Disney,8/14/14,"$1,112,956",30.3%,"$3,670,838",10/5/14
33,New Zealand,Disney,8/7/14,"$1,015,713",28.6%,"$3,557,265",11/2/14
34,Nigeria,-,8/1/14,"$43,421",37.3%,"$116,524",8/24/14
35,Norway,Disney,8/1/14,"$788,033",25.6%,"$3,075,250",9/14/14
36,Peru,Disney,7/31/14,"$1,202,113",34.7%,"$3,464,059",9/28/14
37,Philippines,Disney,7/31/14,"$2,366,868",44%,"$5,382,807",9/21/14
38,Poland,Disney,8/1/14,"$469,855",18.7%,"$2,518,706",10/5/14
39,Portugal,Disney,8/7/14,"$345,054",27.6%,"$1,250,861",9/7/14
40,Russia - CIS,Dis./Sony,7/31/14,"$12,901,954",54.8%,"$23,530,783",5/7/17
41,Serbia & Montenegro,Disney,8/7/14,"$27,503",13%,"$211,909",11/9/14
42,Singapore,Disney,7/31/14,"$1,785,046",37.7%,"$4,729,358",10/26/14
43,Slovakia,Saturn,7/31/14,"$104,700",30.9%,"$339,099",8/31/14
44,Slovenia,Disney,7/31/14,"$15,702",11.5%,"$136,116",10/12/14
45,South Africa,SterKine,8/7/14,"$224,203",15.1%,"$1,480,923",10/19/14
46,South Korea,Disney,7/31/14,"$3,830,414",37.8%,"$10,129,673",7/30/17
47,Spain,Disney,8/14/14,"$2,259,376",22.3%,"$10,149,190",11/9/14
48,Sweden,Disney,8/1/14,"$1,203,350",22.8%,"$5,270,506",10/5/14
49,Thailand,Disney,7/31/14,"$1,382,864",40.5%,"$3,411,898",9/14/14
50,Turkey,UIP,8/1/14,"$430,561",22.4%,"$1,919,065",9/21/14
51,Ukraine,Disney,7/31/14,"$673,163",32.1%,"$2,096,984",10/26/14
52,United Arab Emirates,Disney,8/14/14,"$926,086",39.6%,"$2,341,434",10/26/14
53,United Kingdom,Disney,7/31/14,"$10,703,387",28.8%,"$37,192,445",9/30/18
54,Uruguay,Disney,7/31/14,"$57,215",27.2%,"$209,980",9/28/14
55,Venezuela,UIP,8/8/14,"$1,702,832",28.3%,"$6,016,230",11/16/14
