,Country,Dist.,Release Date,Opening Wknd,% of Total,Total Gross,As of
0,Argentina,Disney,4/25/13,"$3,852,313",28.4%,"$13,556,234",6/16/13
1,Australia,Disney,4/25/13,"$14,493,785",40.1%,"$36,164,486",6/23/13
2,Austria,Constantin,5/1/13,"$957,272",27.2%,"$3,524,852",6/9/13
3,Belgium,Disney,4/24/13,"$1,006,153",28.7%,"$3,511,575",7/14/13
4,Bolivia,Disney,4/25/13,"$385,991",26.7%,"$1,444,620",6/30/13
5,Brazil,Disney,4/26/13,"$11,694,313",24.4%,"$47,874,596",9/8/13
6,Bulgaria,Disney,4/26/13,-,-,"$651,777",7/7/13
7,Chile,Disney,4/25/13,"$1,983,813",25.3%,"$7,848,244",6/30/13
8,China,China Film,5/1/13,"$64,500,000",53.2%,"$121,200,000",6/9/13
9,Colombia,Disney,4/26/13,"$2,493,283",42.5%,"$5,870,418",8/26/18
10,Croatia,Disney,4/25/13,"$135,300",36.7%,"$368,750",6/23/13
11,Czech Republic,Falcon,5/2/13,"$669,480",35.3%,"$1,895,271",6/30/13
12,Denmark,Disney,4/25/13,"$1,455,234",32.8%,"$4,432,711",6/23/13
13,East Africa,Disney,5/1/13,"$95,957",27.6%,"$347,448",6/23/13
14,Ecuador,Disney,4/26/13,"$1,481,236",32.7%,"$4,534,301",7/7/13
15,Egypt,Disney,5/1/13,"$217,954",27.3%,"$799,411",8/11/13
16,Finland,Disney,4/24/13,"$538,759",28.5%,"$1,892,796",7/21/13
17,France,Disney,4/24/13,"$14,900,795",38.2%,"$38,962,258",6/9/13
18,Germany,Concorde,5/1/13,"$8,998,608",36.9%,"$24,368,143",7/7/13
19,Greece,Disney,4/25/13,"$714,766",34.9%,"$2,049,858",6/2/13
20,Hong Kong,Disney,4/25/13,"$4,709,819",34.4%,"$13,705,128",6/23/13
21,Hungary,Forum,4/25/13,"$576,846",28.5%,"$2,023,575",6/16/13
22,Iceland,Disney,4/26/13,"$76,274",20.1%,"$379,577",6/30/13
23,India,Disney,4/26/13,"$5,113,914",41.9%,"$12,209,244",5/26/13
24,Indonesia,Disney,4/25/13,"$4,503,798",29.4%,"$15,308,150",6/2/13
25,Israel,Forum,5/2/13,"$540,686",25.1%,"$2,152,217",6/16/13
26,Italy,Disney,4/24/13,"$9,044,472",43.3%,"$20,910,968",6/9/13
27,Japan,Disney,4/26/13,"$4,229,227",16.8%,"$25,185,661",6/2/13
28,Lebanon,Disney,5/2/13,"$265,853",46.1%,"$576,545",6/16/13
29,Malaysia,Disney,4/26/13,"$4,725,529",34%,"$13,909,003",8/4/13
30,Mexico,Disney,4/26/13,"$17,067,467",35.1%,"$48,566,365",6/23/13
31,Netherlands,Disney,4/25/13,"$1,426,835",24.9%,"$5,720,784",6/16/13
32,New Zealand,Disney,4/25/13,"$1,956,469",37.4%,"$5,226,081",6/23/13
33,Norway,Disney,4/26/13,"$1,840,342",34.5%,"$5,330,071",6/23/13
34,Peru,Disney,4/25/13,"$1,919,107",33.1%,"$5,794,748",6/30/13
35,Philippines,Disney,4/24/13,"$7,413,925",49.6%,"$14,949,472",6/9/13
36,Poland,Disney,5/9/13,"$1,507,571",35.4%,"$4,252,929",7/7/13
37,Portugal,-,4/25/13,"$575,105",34.4%,"$1,673,680",6/30/13
38,Russia - CIS,Disney,5/2/13,"$23,120,207",52.3%,"$44,220,462",7/7/13
39,Serbia & Montenegro,-,5/2/13,"$17,063",13.8%,"$123,278",7/7/13
40,Singapore,Disney,4/26/13,"$3,761,476",36.8%,"$10,210,551",6/30/13
41,Slovakia,Saturn,5/2/13,"$180,471",35.9%,"$502,989",6/9/13
42,Slovenia,Disney,4/25/13,"$43,111",24.2%,"$178,149",6/16/13
43,South Africa,SterKine,5/1/13,"$1,504,233",47.2%,"$3,188,171",7/7/13
44,South Korea,Disney,4/25/13,"$16,498,150",25.7%,"$64,211,513",6/2/13
45,Spain,Disney,4/26/13,"$4,990,454",38.2%,"$13,049,065",8/4/13
46,Sweden,Disney,4/24/13,"$1,782,207",32.4%,"$5,500,507",7/7/13
47,Thailand,Disney,5/1/13,"$3,513,762",39.6%,"$8,866,802",6/9/13
48,Turkey,UIP,5/3/13,"$1,418,479",31.5%,"$4,509,262",8/11/13
49,Ukraine,Disney,5/2/13,"$1,377,169",41.9%,"$3,290,686",7/28/13
50,United Arab Emirates,Disney,5/2/13,"$2,915,592",50.9%,"$5,725,369",8/4/13
51,United Kingdom,Disney,4/25/13,"$21,215,105",37.2%,"$57,074,453",8/18/13
52,Uruguay,Disney,4/26/13,"$136,332",26.9%,"$507,296",6/16/13
53,Venezuela,UIP,4/26/13,"$2,384,218",19.2%,"$12,442,756",7/14/13
