,Country,Dist.,Release Date,Opening Wknd,% of Total,Total Gross,As of
0,Argentina,UIP,4/30/08,"$513,662",33.4%,"$1,538,696",7/13/08
1,Australia,PPI,5/1/08,"$5,788,340",30.7%,"$18,880,106",7/30/08
2,Austria,Constantin,5/2/08,"$271,106",26.6%,"$1,018,284",6/1/08
3,Belgium,UPI,4/30/08,"$774,474",39.6%,"$1,958,094",12/12/08
4,Bolivia,-,5/1/08,"$44,241",29.2%,"$151,386",6/15/08
5,Brazil,PPI,4/30/08,"$3,416,837",24.2%,"$14,111,441",9/8/08
6,Bulgaria,Prooptiki,5/2/08,"$65,345",41.6%,"$157,124",7/27/08
7,Central America and the Greater Antilles,-,4/30/08,-,-,"$2,187,416",8/12/08
8,Chile,UIP,4/30/08,"$527,314",38.1%,"$1,383,728",Final
9,China,China Film,4/30/08,"$5,715,510",37.4%,"$15,274,332",6/8/08
10,Colombia,-,4/30/08,"$420,079",24.6%,"$1,710,029",8/12/08
11,Croatia,-,5/1/08,-,-,"$162,294",8/14/08
12,Cyprus,-,5/1/08,-,-,"$52,499",5/4/08
13,Czech Republic,Bontonfilm,5/1/08,"$120,473",30.1%,"$400,223",6/22/08
14,Czech Republic/Slovakia,-,5/1/08,-,-,"$467,215",Final
15,Denmark,UIP,4/30/08,"$520,340",23.8%,"$2,189,306",12/12/08
16,East Africa,-,5/1/08,"$33,119",35.3%,"$93,840",6/29/08
17,Ecuador,-,4/30/08,-,-,"$926,368",6/8/08
18,Egypt,-,5/7/08,-,-,"$265,031",7/27/08
19,Estonia,-,5/1/08,"$26,837",32.3%,"$83,069",6/22/08
20,Finland,Finnkino,5/1/08,"$146,025",22%,"$663,566",12/12/08
21,France,SND,4/30/08,"$6,949,053",36.2%,"$19,197,690",7/20/08
22,Germany,Concorde,5/1/08,"$3,444,559",40.2%,"$8,560,475",8/24/08
23,Greece,UIP,5/1/08,"$774,712",43%,"$1,799,601",Final
24,Hong Kong,Intercon,4/30/08,"$1,180,256",41.5%,"$2,844,618",8/12/08
25,Hungary,UIP - Duna,4/30/08,"$210,430",30.3%,"$693,626",12/12/08
26,Iceland,Samfilm,4/30/08,"$78,205",28.1%,"$278,202",6/22/08
27,India,-,5/2/08,-,-,"$1,993,885",6/1/08
28,Indonesia,-,4/30/08,-,-,"$2,147,484",12/12/08
29,Israel,-,5/1/08,-,-,"$606,803",12/12/08
30,Italy,UPI,5/1/08,"$3,209,052",29.1%,"$11,035,006",8/22/08
31,Japan,Sony,9/27/08,"$1,958,331",22.6%,"$8,658,784",12/7/08
32,Kuwait,-,5/1/08,-,-,"$839,076",6/4/08
33,Latvia,Forum,5/1/08,"$45,503",35.9%,"$126,835",6/22/08
34,Lebanon,-,5/1/08,"$34,294",33.7%,"$101,817",7/6/08
35,Lithuania,Forum,5/1/08,"$36,583",23%,"$158,882",7/6/08
36,Macedonia,-,5/8/08,-,-,n/a,N/A
37,Malaysia,-,4/30/08,"$1,357,704",39.1%,"$3,469,079",8/13/08
38,Mexico,PPI,4/30/08,"$5,272,729",26.7%,"$19,728,577",10/23/08
39,Netherlands,UPI,5/1/08,"$691,152",33.2%,"$2,083,016",8/12/08
40,New Zealand,PPI,5/1/08,"$1,020,627",37.4%,"$2,731,097",Final
41,Nigeria,-,5/9/08,"$15,840",31.9%,"$49,724",6/15/08
42,Norway,UIP,4/30/08,"$410,557",22.1%,"$1,855,671",8/13/08
43,Pakistan,-,5/2/08,-,-,n/a,N/A
44,Peru,-,4/30/08,"$565,379",37.2%,"$1,521,193",12/11/08
45,Philippines,-,4/30/08,"$1,745,112",43.7%,"$3,994,681",12/12/08
46,Poland,UIP,4/30/08,"$249,089",25%,"$995,816",Final
47,Portugal,Lusomundo,5/1/08,"$467,270",35.3%,"$1,323,382",8/14/08
48,Romania,RI 2000,5/2/08,"$75,828",31.1%,"$243,918",7/20/08
49,Russia - CIS,UPI,5/1/08,"$4,379,511",46.7%,"$9,386,135",8/13/08
50,Serbia & Montenegro,Taramount,5/8/08,"$11,346",37.7%,"$30,130",1/11/09
51,Singapore,-,4/30/08,"$1,544,008",40.4%,"$3,823,968",12/12/08
52,Slovakia,Tatrafilm,5/1/08,"$21,106",30.6%,"$69,024",6/8/08
53,Slovenia,Karan,4/30/08,"$15,711",17.8%,"$88,033",Final
54,South Africa,UIP,5/1/08,"$463,180",31.6%,"$1,464,664",7/13/08
55,South Korea,CJ Ent.,4/30/08,"$5,943,181",23.6%,"$25,169,783",5/2/10
56,Southern Africa,-,5/1/08,-,-,"$1,488,822",7/24/08
57,Spain,Sony,4/30/08,"$3,368,430",28%,"$12,030,026",Final
58,Sweden,UIP,5/1/08,"$531,264",25.8%,"$2,057,727",12/12/08
59,Switzerland,UPI,4/30/08,"$470,771",34.4%,"$1,367,349",8/13/08
60,Taiwan,UIP,4/30/08,"$1,025,713",19.1%,"$5,367,955",7/10/08
61,Thailand,UIP,4/30/08,"$1,046,772",42.6%,"$2,457,844",Final
62,Turkey,UIP,5/2/08,"$548,588",33.1%,"$1,657,838",12/15/08
63,Ukraine,B and H,4/30/08,"$450,763",54.4%,"$828,937",6/29/08
64,United Arab Emirates,-,5/1/08,"$693,087",37.6%,"$1,841,925",8/17/08
65,United Kingdom,PPI,5/2/08,"$10,772,921",31.9%,"$33,822,889",7/27/08
66,Uruguay,-,5/2/08,"$28,478",38.5%,"$73,896",6/15/08
67,Venezuela,-,4/30/08,"$481,702",25.5%,"$1,891,944",8/12/08
