,Country,Dist.,Release Date,Opening Wknd,% of Total,Total Gross,As of
0,Argentina,Disney,4/26/12,"$3,577,647",20.6%,"$17,331,732",7/29/12
1,Australia,Disney,4/25/12,"$13,923,182",25.6%,"$54,385,465",7/8/12
2,Austria,UPI,4/26/12,"$679,419",21.4%,"$3,175,739",7/22/12
3,Belgium,Disney,4/25/12,"$1,271,359",31.3%,"$4,061,231",9/2/12
4,Bolivia,Disney,4/26/12,"$428,749",22.7%,"$1,885,220",7/1/12
5,Brazil,Disney,4/27/12,"$10,814,407",16.9%,"$63,904,807",11/4/12
6,Bulgaria,UIP,5/1/12,"$232,228",31.2%,"$743,965",7/8/12
7,Chile,Disney,4/26/12,"$1,733,780",18.7%,"$9,247,146",7/15/12
8,China,-,5/4/12,-,-,"$86,300,000",6/10/12
9,Colombia,Disney,4/27/12,"$2,314,014",32.4%,"$7,140,604",5/13/18
10,Croatia,Disney,5/3/12,"$138,406",35.7%,"$387,357",7/8/12
11,Czech Republic,Falcon,5/3/12,"$494,363",28.4%,"$1,740,748",7/15/12
12,Denmark,Disney,4/26/12,"$1,658,686",32.6%,"$5,081,339",7/15/12
13,East Africa,Disney,4/27/12,"$65,331",20.2%,"$323,763",8/26/12
14,Ecuador,Disney,4/27/12,"$1,294,001",23.9%,"$5,410,298",7/1/12
15,Egypt,Disney,5/2/12,"$153,968",16.9%,"$913,497",8/26/12
16,Finland,Disney,4/27/12,"$431,815",29.3%,"$1,476,038",7/15/12
17,France,Disney,4/25/12,"$19,035,088",50.4%,"$37,765,919",6/17/12
18,Germany,Disney,4/26/12,"$8,444,708",27.4%,"$30,828,359",7/29/12
19,Ghana,Disney,5/4/12,"$20,549",100%,"$20,549",5/6/12
20,Greece,Disney,4/26/12,"$868,941",33.4%,"$2,599,996",6/3/12
21,Hong Kong,Disney,4/26/12,"$4,351,700",34.9%,"$12,468,825",8/26/12
22,Hungary,Forum,4/26/12,"$496,999",28.2%,"$1,759,397",6/17/12
23,Iceland,UIP,4/27/12,"$139,222",27.7%,"$502,028",7/8/12
24,India,Disney,4/27/12,-,-,"$12,616,061",6/3/12
25,Indonesia,Disney,5/4/12,"$2,914,124",24.4%,"$11,949,911",7/29/12
26,Israel,Forum,5/10/12,"$750,051",30.6%,"$2,449,957",7/1/12
27,Italy,Disney,4/25/12,"$6,372,395",28.9%,"$22,012,517",8/19/12
28,Japan,Disney,8/17/12,"$6,386,185",14.1%,"$45,256,010",9/30/12
29,Lebanon,Disney,5/3/12,"$143,179",26.8%,"$534,555",7/8/12
30,Lithuania,-,2012,-,-,n/a,N/A
31,Malaysia,Disney,4/27/12,"$3,302,692",30.1%,"$10,965,615",8/5/12
32,Mexico,Disney,4/27/12,"$17,439,946",28.2%,"$61,748,523",8/12/12
33,Netherlands,Disney,4/25/12,"$1,492,640",22.6%,"$6,609,804",7/1/12
34,New Zealand,Disney,4/25/12,"$1,677,054",23.5%,"$7,140,832",7/29/12
35,Nigeria,-,5/4/12,"$95,843",47.4%,"$202,368",5/13/12
36,Norway,Disney,4/27/12,"$1,525,494",27.1%,"$5,636,566",8/5/12
37,Peru,Disney,4/26/12,"$2,230,676",26.2%,"$8,523,744",7/22/12
38,Philippines,Disney,4/25/12,"$6,580,876",45.8%,"$14,382,992",7/1/12
39,Poland,Forum,5/11/12,"$957,409",30.2%,"$3,165,105",7/29/12
40,Portugal,Lusomundo,4/25/12,"$622,909",25%,"$2,489,524",7/1/12
41,Romania,RI 2000,4/26/12,-,-,n/a,N/A
42,Russia - CIS,Disney,5/3/12,"$14,954,518",34.2%,"$43,677,418",10/7/12
43,Serbia & Montenegro,UIP,5/3/12,"$33,083",19.8%,"$167,189",7/15/12
44,Singapore,Disney,5/1/12,"$3,441,766",30.8%,"$11,172,253",10/28/12
45,Slovakia,Saturn,5/3/12,-,-,"$448,435",6/17/12
46,Slovenia,Disney,5/3/12,"$40,765",24.9%,"$163,737",7/1/12
47,South Africa,SterKine,4/26/12,"$1,306,598",28.3%,"$4,609,462",7/15/12
48,South Korea,Disney,4/26/12,"$10,792,833",21.3%,"$50,683,851",6/10/12
49,Spain,Disney,4/27/12,"$7,065,265",34.9%,"$20,220,212",9/9/12
50,Sweden,Disney,4/27/12,"$2,288,528",30.1%,"$7,595,353",7/29/12
51,Taiwan,-,4/25/12,-,-,"$20,100,000",6/3/12
52,Thailand,Disney,5/1/12,"$2,537,093",32%,"$7,935,363",6/24/12
53,Turkey,UIP,5/4/12,"$1,189,452",27.9%,"$4,257,979",8/26/12
54,Ukraine,Disney,5/3/12,"$865,481",39.2%,"$2,210,225",3/2/14
55,United Arab Emirates,Disney,5/3/12,"$2,671,492",39.9%,"$6,689,950",8/19/12
56,United Kingdom,Disney,4/26/12,"$25,670,014",31.9%,"$80,563,081",8/12/12
57,Uruguay,Disney,4/27/12,"$119,780",23.1%,"$517,473",7/8/12
58,Venezuela,Disney,4/27/12,"$1,585,295",12%,"$13,216,039",8/26/12
