,Country,Dist.,Release Date,Opening Wknd,% of Total,Total Gross,As of
0,Argentina,UIP,7/6/17,"$2,227,359",31.7%,"$7,033,029",10/22/17
1,Australia,Sony,7/6/17,"$7,702,416",39.1%,"$19,719,661",10/22/17
2,Austria,Sony,7/14/17,"$608,337",34.6%,"$1,755,851",9/24/17
3,Bahrain,Sony,7/6/17,-,-,"$665,503",8/20/17
4,Belgium,Sony,7/19/17,"$876,116",38.4%,"$2,278,867",10/1/17
5,Bolivia,Sony,7/6/17,"$371,028",26.4%,"$1,407,192",9/10/17
6,Brazil,Sony,7/6/17,"$8,926,785",28%,"$31,896,083",10/8/17
7,Bulgaria,Alexandra,7/7/17,"$79,760",23.4%,"$340,638",9/24/17
8,Chile,Sony,7/6/17,"$1,365,654",31.3%,"$4,362,392",10/22/17
9,China,Sony,9/8/17,"$69,240,992",59.5%,"$116,280,889",10/8/17
10,Colombia,Sony,7/6/17,"$1,628,660",35.5%,"$4,592,912",9/17/17
11,Croatia,Sony,7/6/17,"$129,054",27.9%,"$461,870",9/17/17
12,Czech Republic,Falcon,7/6/17,"$333,885",26%,"$1,283,316",9/17/17
13,Denmark,Sony,7/6/17,"$665,133",26.9%,"$2,468,895",10/1/17
14,Dominican Republic,Sony,7/6/17,"$241,398",31%,"$779,671",9/24/17
15,Ecuador,Sony,7/7/17,"$1,001,664",37.2%,"$2,692,449",8/27/17
16,Egypt,Sony,7/6/17,"$146,488",27.4%,"$533,993",9/24/17
17,Estonia,Sony,7/14/17,"$67,987",33.4%,"$203,713",9/3/17
18,Finland,Sony,7/5/17,"$195,396",16.9%,"$1,158,441",10/15/17
19,France,Sony,7/12/17,"$6,329,921",33.7%,"$18,790,173",9/24/17
20,Germany,Sony,7/13/17,"$3,695,755",31.7%,"$11,664,461",10/8/17
21,Ghana,Sony,7/7/17,-,-,"$53,051",9/3/17
22,Greece,Sony,7/6/17,"$347,963",31.3%,"$1,112,868",8/27/17
23,Hong Kong,Sony,7/6/17,"$3,335,647",36.7%,"$9,080,755",9/17/17
24,Hungary,InterCom,7/6/17,"$322,832",30.4%,"$1,063,307",9/3/17
25,Iceland,Sena,7/7/17,"$71,841",21.7%,"$331,584",9/17/17
26,India,Sony,7/7/17,"$6,459,612",56.6%,"$11,403,714",9/10/17
27,Indonesia,Sony,7/5/17,"$6,779,105",55%,"$12,335,003",8/20/17
28,Israel,Sony,7/6/17,"$773,464",29.7%,"$2,602,715",10/1/17
29,Italy,Sony,7/6/17,"$3,022,513",29.8%,"$10,157,185",10/15/17
30,Jamaica,Sony,7/5/17,-,-,"$297,261",9/10/17
31,Japan,Sony,8/11/17,"$7,101,442",28%,"$25,390,871",10/15/17
32,Jordan,Sony,7/6/17,-,-,"$330,441",8/27/17
33,Kenya,Sony,7/7/17,-,-,"$260,893",10/15/17
34,Kuwait,Sony,7/6/17,-,-,"$1,666,038",8/13/17
35,Latvia,Sony,7/14/17,"$45,685",32.7%,"$139,920",9/3/17
36,Lebanon,Sony,7/6/17,"$92,083",14.6%,"$629,019",9/24/17
37,Lithuania,ACME,7/14/17,"$42,754",28.6%,"$149,352",8/20/17
38,Malaysia,Sony,7/6/17,"$3,511,859",51.9%,"$6,771,976",10/8/17
39,Mexico,Sony,7/6/17,"$11,679,553",43.1%,"$27,069,013",10/8/17
40,Mongolia,Sony,7/7/17,-,-,"$100,575",9/10/17
41,Netherlands,Sony,7/6/17,"$931,871",23.1%,"$4,042,454",10/15/17
42,New Zealand,Sony,7/6/17,"$861,810",32%,"$2,695,355",9/17/17
43,Nigeria,Sony,7/7/17,-,-,"$280,973",9/17/17
44,Norway,Sony,7/7/17,"$780,645",27.6%,"$2,827,030",10/15/17
45,Pakistan,Sony,7/7/17,"$251,478",37.8%,"$665,551",8/27/17
46,Panama,Sony,7/6/17,-,-,"$305,426",8/20/17
47,Paraguay,Sony,7/6/17,"$104,133",34.1%,"$305,790",9/3/17
48,Peru,Sony,7/6/17,"$1,901,404",36.5%,"$5,205,100",8/20/17
49,Philippines,Sony,7/6/17,"$4,110,362",54.6%,"$7,523,563",9/3/17
