,Country,Dist.,Release Date,Opening Wknd,% of Total,Total Gross,As of
0,Argentina,UIP,6/19/08,"$422,838",45.2%,"$935,727",12/11/08
1,Australia,PPI,6/12/08,"$1,913,821",42.5%,"$4,502,535",11/2/08
2,Austria,Constantin,7/11/08,"$127,735",30.8%,"$414,620",Final
3,Belgium,UPI,6/25/08,"$354,175",32.8%,"$1,079,519",Final
4,Bolivia,-,6/12/08,"$22,719",33.4%,"$67,950",7/6/08
5,Brazil,PPI,6/13/08,"$1,743,519",33.1%,"$5,268,777",12/12/08
6,Bulgaria,Prooptiki,6/13/08,"$32,758",33.5%,"$97,910",2/1/09
7,Central America and the Greater Antilles,-,6/13/08,-,-,"$1,229,654",9/4/08
8,Chile,UIP,6/12/08,"$125,119",36.7%,"$340,611",Final
9,China,-,8/20/08,"$3,652,354",40.9%,"$8,929,638",2/1/09
10,Colombia,-,6/20/08,"$281,555",37.5%,"$751,814",Final
11,Croatia,-,7/10/08,-,-,"$87,874",12/19/08
12,Cyprus,-,6/13/08,-,-,"$153,442",2/1/09
13,Czech Republic,Bontonfilm,7/17/08,"$63,112",42.8%,"$147,445",8/10/08
14,Czech Republic/Slovakia,-,7/17/08,-,-,"$199,692",2/1/09
15,Denmark,UIP,6/27/08,-,-,"$1,103,737",12/11/08
16,East Africa,-,6/13/08,"$23,267",28.7%,"$80,964",2/1/09
17,Ecuador,-,6/13/08,-,-,"$379,250",2/1/09
18,Egypt,-,6/18/08,-,-,"$275,749",2/1/09
19,Estonia,-,6/13/08,"$8,280",29.5%,"$28,037",2/1/09
20,Finland,Finnkino,6/13/08,"$56,548",25.4%,"$222,314",12/4/08
21,France,SND,7/23/08,"$4,097,119",42.9%,"$9,554,120",Final
22,Germany,Concorde,7/10/08,"$1,162,280",47.2%,"$2,461,403",Final
23,Greece,UIP,6/12/08,"$299,818",36%,"$833,969",12/10/08
24,Hong Kong,EDKO,6/12/08,"$655,199",41.3%,"$1,587,457",Final
25,Hungary,UIP - Duna,6/12/08,"$124,599",40.2%,"$309,801",12/11/08
26,Iceland,Myndform,6/13/08,"$46,643",30.5%,"$152,733",2/1/09
27,India,-,6/20/08,-,-,"$3,137,469",2/1/09
28,Indonesia,-,6/18/08,-,-,"$1,498,269",11/6/08
29,Israel,-,6/26/08,-,-,"$493,141",10/7/08
30,Italy,UPI,6/18/08,"$1,527,891",23.7%,"$6,460,290",12/11/08
31,Japan,Sony,8/1/08,"$385,666",22.8%,"$1,692,037",Final
32,Kuwait,-,6/19/08,"$412,044",62.3%,"$661,769",7/16/08
33,Latvia,Forum,6/13/08,"$15,637",30.8%,"$50,812",2/1/09
34,Lebanon,-,6/19/08,"$22,616",23.8%,"$94,983",2/1/09
35,Lesser Antilles,-,6/18/08,-,-,"$275,882",2/1/09
36,Lithuania,Forum,6/13/08,"$17,318",32.3%,"$53,656",2/1/09
37,Malaysia,-,6/12/08,"$941,367",41.2%,"$2,284,041",Final
38,Mexico,UPI,6/13/08,"$4,437,954",36.5%,"$12,168,610",12/11/08
39,Middle East Other,-,6/19/08,-,-,"$1,394,480",2/1/09
40,Netherlands,UPI,6/19/08,"$390,858",29.2%,"$1,338,756",3/8/09
41,New Zealand,PPI,6/12/08,"$310,993",35.6%,"$873,577",12/31/08
42,Nigeria,-,6/20/08,"$15,768",56.5%,"$27,915",7/6/08
43,Norway,UIP,6/13/08,"$380,512",24.8%,"$1,532,085",9/7/08
44,Pakistan,-,6/20/08,-,-,"$173,936",2/1/09
45,Peru,-,6/12/08,"$331,447",27.8%,"$1,194,068",2/1/09
46,Philippines,-,6/13/08,"$772,966",37.3%,"$2,073,443",11/27/08
47,Poland,UIP,6/13/08,"$160,520",33.1%,"$484,495",12/17/08
48,Portugal,Lusomundo,6/12/08,"$169,609",23.8%,"$712,895",3/8/09
49,Romania,RI 2000,6/13/08,"$43,991",30.4%,"$144,829",2/1/09
50,Russia - CIS,UPI,6/12/08,"$3,241,476",50.8%,"$6,375,681",12/17/08
51,Serbia & Montenegro,Taramount,6/12/08,"$8,001",21.4%,"$37,372",2/1/09
52,Singapore,-,6/12/08,"$910,718",49.9%,"$1,825,919",Final
53,Slovakia,Tatrafilm,7/17/08,"$16,918",53.7%,"$31,530",8/3/08
54,Slovenia,Karan,6/12/08,"$15,855",26.5%,"$59,940",Final
55,South Africa,UIP,6/13/08,"$233,777",25.3%,"$924,788",8/17/08
56,South Korea,UIP,6/12/08,"$2,869,291",44.9%,"$6,383,794",10/8/08
57,Southern Africa,-,6/13/08,-,-,"$926,846",10/8/08
58,Spain,Sony,6/20/08,"$2,214,674",28.8%,"$7,693,842",Final
59,Sweden,UIP,6/13/08,"$287,435",26.7%,"$1,075,183",12/11/08
60,Switzerland,UPI,6/18/08,"$7,556",1.3%,"$582,510",10/8/08
61,Taiwan,UIP,6/13/08,"$648,355",33.5%,"$1,935,524",10/8/08
62,Thailand,UIP,6/12/08,"$630,849",53.6%,"$1,177,786",9/3/08
63,Turkey,UIP,6/13/08,"$397,477",31%,"$1,280,611",12/9/08
64,Ukraine,B and H,6/11/08,"$230,730",40.3%,"$571,932",2/1/09
65,United Arab Emirates,-,6/19/08,"$848,661",46.8%,"$1,814,406",Final
66,United Kingdom,UPI,6/13/08,"$6,333,915",39%,"$16,227,041",12/31/08
67,Uruguay,-,6/27/08,"$7,905",33.4%,"$23,637",2/1/09
68,Venezuela,-,6/13/08,"$315,943",24.1%,"$1,312,950",10/8/08
69,Vietnam,-,7/4/08,-,-,"$162,749",12/31/08
