,Country,Dist.,Release Date,Opening Wknd,% of Total,Total Gross,As of
0,Argentina,Disney,10/26/17,"$2,002,498",32.5%,"$6,169,643",1/14/18
1,Australia,Disney,10/26/17,"$7,782,483",28.8%,"$26,997,469",3/4/18
2,Austria,Disney,10/31/17,"$706,964",25.8%,"$2,745,268",1/21/18
3,Belgium,Disney,10/25/17,"$705,034",27.5%,"$2,566,343",2/4/18
4,Bolivia,WB,11/2/17,"$445,953",31.4%,"$1,422,005",1/7/18
5,Brazil,Disney,10/26/17,"$8,132,794",26.7%,"$30,485,847",1/7/18
6,Bulgaria,Forum,10/27/17,"$198,450",27%,"$733,913",12/17/17
7,Chile,Disney,10/26/17,"$1,339,568",35.9%,"$3,736,319",12/24/17
8,China,Disney,11/3/17,"$53,321,193",47.5%,"$112,226,154",12/3/17
9,Colombia,Disney,10/26/17,"$1,550,116",28.3%,"$5,473,781",9/9/18
10,Czech Republic,Falcon,10/26/17,"$1,097,809",36.1%,"$3,043,078",12/24/17
11,Denmark,Disney,10/26/17,"$897,479",30.7%,"$2,918,761",1/28/18
12,Finland,Disney,11/3/17,"$386,333",26.5%,"$1,456,100",2/25/18
13,France,Disney,10/25/17,"$7,713,274",36.3%,"$21,262,791",4/1/18
14,Germany,Disney,10/31/17,"$5,346,885",28.1%,"$19,036,145",3/25/18
15,Greece,Feelgood,11/2/17,"$464,120",35.8%,"$1,295,237",12/17/17
16,Hong Kong,Disney,10/26/17,"$2,831,676",40.4%,"$7,003,816",1/7/18
17,Hungary,Forum,11/2/17,"$972,882",44.1%,"$2,204,271",1/21/18
18,Iceland,Samfilm,10/27/17,"$130,902",27.3%,"$480,305",12/31/17
19,India,Disney,11/3/17,"$5,453,841",46.1%,"$11,818,410",12/24/17
20,Indonesia,Disney,10/25/17,"$5,897,632",50.2%,"$11,746,294",12/10/17
21,Italy,Disney,10/25/17,"$3,521,059",34%,"$10,369,507",12/17/17
22,Japan,Disney,11/3/17,"$2,020,827",20%,"$10,116,575",1/7/18
23,Lithuania,-,11/3/17,"$75,224",34.7%,"$216,827",3/11/18
24,Malaysia,Disney,10/26/17,"$3,495,934",43.5%,"$8,037,405",2/11/18
25,Mexico,Disney,11/2/17,"$7,380,769",34.7%,"$21,249,433",2/18/18
26,Netherlands,Disney,10/26/17,"$1,381,756",30.1%,"$4,590,401",1/14/18
27,New Zealand,Disney,10/26/17,"$1,401,196",29%,"$4,839,337",2/24/19
28,Norway,Disney,10/27/17,"$912,502",33.1%,"$2,753,609",3/11/18
29,Paraguay,Filmagic,10/26/17,"$132,232",36.8%,"$358,934",12/31/17
30,Philippines,Disney,10/25/17,"$3,898,923",46.7%,"$8,347,510",12/17/17
31,Poland,Disney,10/25/17,"$1,360,073",33.6%,"$4,046,509",2/25/18
32,Portugal,-,10/26/17,"$421,073",31.3%,"$1,344,160",12/24/17
33,Romania,Forum,10/27/17,"$591,743",28%,"$2,111,835",1/21/18
34,Russia - CIS,Disney,11/2/17,"$3,734,975",15.8%,"$23,648,617",3/4/18
35,Singapore,Disney,10/26/17,"$2,210,498",37.1%,"$5,950,587",12/24/17
36,Slovakia,Saturn,11/2/17,"$344,937",40.7%,"$846,839",12/31/17
37,Slovenia,2i Film,10/26/17,"$49,640",26.4%,"$188,184",12/17/17
38,South Africa,SterKine,10/27/17,"$528,465",20.7%,"$2,548,900",1/14/18
39,South Korea,Disney,10/25/17,"$15,720,476",44.8%,"$35,126,494",1/28/18
40,Spain,Disney,10/27/17,"$3,499,099",32.9%,"$10,622,231",2/11/18
41,Sweden,Disney,10/27/17,"$1,283,868",28.3%,"$4,541,867",4/8/18
42,Switzerland,Disney,10/25/17,"$275,214",12.3%,"$2,230,816",12/17/17
43,Taiwan,Disney,10/25/17,"$5,164,478",49.6%,"$10,411,887",12/31/17
44,Thailand,Disney,11/2/17,"$2,798,475",37.3%,"$7,504,939",12/10/17
45,Turkey,UIP,10/27/17,"$1,105,121",37.1%,"$2,981,701",12/10/17
46,Ukraine,Disney,11/2/17,"$1,200,377",49.5%,"$2,424,456",9/2/18
47,United Arab Emirates,Disney,11/2/17,"$2,102,333",45.9%,"$4,577,959",2/4/18
48,United Kingdom,Disney,10/24/17,"$16,248,030",39.7%,"$40,960,481",4/22/18
49,Uruguay,Disney,10/26/17,"$210,427",55.2%,"$380,925",9/23/18
50,Venezuela,Disney,11/3/17,"$502,075",16.8%,"$2,985,748",2/18/18
