,Country,Dist.,Release Date,Opening Wknd,% of Total,Total Gross,As of
0,Argentina,Disney,11/14/13,"$1,734,845",30.7%,"$5,646,086",2/23/14
1,Australia,Disney,10/31/13,"$6,804,662",33.2%,"$20,494,942",12/22/13
2,Austria,Disney,10/31/13,"$935,519",36.5%,"$2,561,728",12/22/13
3,Belgium,Disney,10/30/13,"$944,545",42.4%,"$2,230,285",1/12/14
4,Bolivia,Disney,11/7/13,"$228,827",20.6%,"$1,108,797",1/12/14
5,Brazil,Disney,11/1/13,"$6,691,007",24.1%,"$27,751,884",2/2/14
6,Bulgaria,Disney,11/1/13,"$233,383",26.4%,"$883,334",1/19/14
7,Chile,Disney,11/7/13,"$972,471",29.2%,"$3,330,635",2/9/14
8,China,HuaXia,11/8/13,"$20,980,000",37.9%,"$55,340,000",12/8/13
9,Colombia,Disney,11/1/13,"$1,627,176",39.8%,"$4,085,479",8/26/18
10,Croatia,Disney,11/7/13,"$122,662",39.6%,"$309,572",12/22/13
11,Czech Republic,Falcon,11/7/13,"$543,311",38.9%,"$1,398,191",1/5/14
12,Denmark,Disney,10/31/13,"$849,842",39.9%,"$2,128,547",12/8/13
13,East Africa,Disney,11/8/13,"$58,740",28.7%,"$204,454",3/16/14
14,Ecuador,Disney,11/8/13,"$948,093",34%,"$2,790,162",12/29/13
15,Egypt,Disney,11/6/13,"$84,012",15.7%,"$536,616",1/19/14
16,Finland,Disney,10/30/13,"$304,733",27%,"$1,129,411",12/15/13
17,France,Disney,10/30/13,"$9,943,279",44.6%,"$22,289,092",12/8/13
18,Germany,Disney,10/31/13,"$8,308,931",40.8%,"$20,356,156",12/29/13
19,Greece,Disney,11/21/13,"$546,600",43.1%,"$1,267,903",12/15/13
20,Hong Kong,Disney,10/31/13,"$2,055,137",43.4%,"$4,730,882",12/15/13
21,Hungary,Forum,11/14/13,"$464,669",42.1%,"$1,104,097",12/22/13
22,Iceland,Disney,11/1/13,"$95,935",31.3%,"$306,525",12/22/13
23,India,Disney,11/8/13,"$1,676,314",46.6%,"$3,598,734",12/8/13
24,Israel,Disney,10/31/13,"$403,587",35.1%,"$1,149,742",12/15/13
25,Italy,Disney,11/20/13,"$4,964,804",44.4%,"$11,176,894",12/15/13
26,Japan,Disney,2/1/14,"$1,833,451",30.5%,"$6,017,520",3/2/14
27,Lebanon,Disney,11/7/13,"$193,298",36.9%,"$523,712",12/8/13
28,Malaysia,Disney,10/31/13,"$3,634,582",41.2%,"$8,819,558",1/26/14
29,Mexico,Disney,11/1/13,"$8,256,931",34.6%,"$23,857,540",12/29/13
30,Netherlands,Disney,10/31/13,"$1,017,499",31.7%,"$3,212,754",12/8/13
31,New Zealand,Disney,10/31/13,"$934,525",33.5%,"$2,790,409",12/29/13
32,Nigeria,-,11/8/13,"$57,659",35.1%,"$164,215",11/24/13
33,Norway,Disney,11/1/13,-,-,"$2,546,889",12/8/13
34,Peru,Disney,11/7/13,"$1,380,237",34.2%,"$4,040,720",12/29/13
35,Philippines,Disney,10/30/13,"$4,625,040",58.2%,"$7,950,502",12/22/13
36,Poland,Disney,11/8/13,"$1,043,909",33%,"$3,160,256",1/5/14
37,Portugal,-,10/31/13,"$497,854",33.5%,"$1,485,608",1/5/14
38,Russia - CIS,Disney,10/31/13,"$7,591,036",21.2%,"$35,732,140",12/15/13
39,Serbia & Montenegro,-,11/7/13,"$31,674",21.6%,"$146,913",12/15/13
40,Singapore,Disney,10/31/13,"$2,858,414",45.4%,"$6,300,035",12/29/13
41,Slovakia,Saturn,11/7/13,"$192,917",39.1%,"$493,999",12/8/13
42,Slovenia,Disney,10/31/13,"$40,992",27.7%,"$148,061",12/22/13
43,South Africa,SterKine,11/8/13,"$527,618",25.5%,"$2,068,342",12/29/13
44,South Korea,Disney,10/30/13,"$6,114,417",29%,"$21,114,584",12/1/13
45,Spain,Disney,10/31/13,"$3,339,249",37.7%,"$8,862,218",1/12/14
46,Sweden,Disney,10/30/13,"$1,162,406",29.5%,"$3,944,319",12/22/13
47,Thailand,Disney,11/7/13,"$2,354,229",51.7%,"$4,552,606",12/15/13
48,Turkey,UIP,11/1/13,"$1,009,317",27.3%,"$3,692,896",12/15/13
49,Ukraine,Disney,10/31/13,"$898,768",32.2%,"$2,787,498",12/15/13
50,United Arab Emirates,Disney,11/7/13,"$1,567,488",45.4%,"$3,451,574",2/2/14
51,United Kingdom,Disney,10/30/13,"$13,804,931",52.6%,"$26,224,037",9/30/18
52,Uruguay,Disney,11/7/13,"$75,163",36.6%,"$205,337",12/22/13
53,Venezuela,Disney,11/8/13,"$1,397,306",15.3%,"$9,147,580",3/2/14
