Rank,Title,Studio,Gross,Opening,Date
1,Black Panther,BV,"$700,059,566","$202,003,951",2/16/18
2,Avengers: Infinity War,BV,"$678,815,482","$257,698,183",4/27/18
3,Marvel's The Avengers,BV,"$623,357,910","$207,438,708",5/4/12
4,Avengers: Age of Ultron,BV,"$459,005,868","$191,271,109",5/1/15
5,Iron Man 3,BV,"$409,013,994","$174,144,585",5/3/13
6,Captain America: Civil War,BV,"$408,084,349","$179,139,142",5/6/16
7,Guardians of the Galaxy Vol. 2,BV,"$389,813,101","$146,510,104",5/5/17
8,Spider-Man: Homecoming,Sony,"$334,201,140","$117,027,503",7/7/17
9,Guardians of the Galaxy,BV,"$333,176,600","$94,320,883",8/1/14
10,Iron Man,Par.,"$318,412,101","$98,618,668",5/2/08
11,Thor: Ragnarok,BV,"$315,058,289","$122,744,989",11/3/17
12,Iron Man 2,Par.,"$312,433,331","$128,122,480",5/7/10
13,Captain America: The Winter Soldier,BV,"$259,766,572","$95,023,721",4/4/14
14,Doctor Strange,BV,"$232,641,920","$85,058,311",11/4/16
15,Ant-Man and the Wasp,BV,"$216,648,740","$75,812,205",7/6/18
16,Thor: The Dark World,BV,"$206,362,140","$85,737,841",11/8/13
17,Thor,Par.,"$181,030,624","$65,723,338",5/6/11
18,Ant-Man,BV,"$180,202,163","$57,225,526",7/17/15
19,Captain America: The First Avenger,Par.,"$176,654,505","$65,058,524",7/22/11
20,The Incredible Hulk,Uni.,"$134,806,913","$55,414,050",6/13/08
