,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
0,[REC] 4: Apocalypse,2014,R,31 Oct 2014,95 min,"Horror, Thriller",Jaume Balagueró,"Jaume Balagueró (screenplay), Manu Díez (screenplay)","Manuela Velasco, Paco Manzanedo, Héctor Colomé, Ismael Fritschi","An ill-fated television reporter is rescued and sent on a voyage across the ocean, but she is followed by the deadly virus that has plagued her and numerous others.",Spanish,Spain,2 wins & 11 nominations.,https://m.media-amazon.com/images/M/MV5BOTU3OTU2ODc5MF5BMl5BanBnXkFtZTgwNjY3MDY2MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,5.4,"13,725",tt1649443,movie,11 May 2015,$708,Magnolia Pictures/Magnet Releasing,http://www.magnetreleasing.com/rec4/,True
1,The Woman in Black 2: Angel of Death,2014,PG-13,02 Jan 2015,98 min,"Drama, Horror, Thriller",Tom Harper,"Jon Croker (screenplay), Jon Croker, Susan Hill","Phoebe Fox, Merryn Pearse, Mary Roscoe, Helen McCrory","40 years after the first haunting at Eel Marsh House, a group of children evacuated from WWII London arrives, awakening the house's darkest inhabitant.",English,"UK, USA, Canada",2 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMTgxMjUyNTAxNF5BMl5BanBnXkFtZTgwNTk4MDUyMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,4.9,"24,238",tt2339741,movie,14 Apr 2015,N/A,Relativity Media,http://www.facebook.com/TheWomanInBlackMovie,True
2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
3,Blackhat,2015,R,16 Jan 2015,133 min,"Action, Crime, Thriller",Michael Mann,Morgan Davis Foehl,"Chris Hemsworth, Leehom Wang, Wei Tang, Viola Davis",A furloughed convict and his American and Chinese partners hunt a high-level cybercrime network from Chicago to Los Angeles to Hong Kong to Jakarta.,"English, Mandarin, Spanish",USA,5 nominations.,https://m.media-amazon.com/images/M/MV5BMTg1NDUyMzk5NV5BMl5BanBnXkFtZTgwOTk1NzUxMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,5.4,"47,838",tt2717822,movie,12 May 2015,"$5,686,515",Universal Studios,http://www.blackhatthemovie.com/,True
4,Preservation,2014,Not Rated,09 Jan 2015,90 min,"Horror, Thriller",Christopher Denham,Christopher Denham,"Wrenn Schmidt, Pablo Schreiber, Aaron Staton, Cody Saintgnue","An anesthesiologist must awaken her animal instincts when she, her husband and her brother-in-law become the quarry of unseen hunters who want to turn them all into trophies.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMDNjMmM5OTYtYmY0Ny00ZTNjLWEyNGYtYTBiYWEwMTRkZDFlXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,4.7,"4,996",tt3138558,movie,06 Apr 2015,N/A,The Orchard,N/A,True
5,The World Made Straight,2015,R,09 Jan 2015,119 min,Drama,David Burris,"Ron Rash (based on the novel by), Shane Danielsen (screenplay by)","Noah Wyle, Jeremy Irvine, Minka Kelly, Adelaide Clemens","In a rural Appalachian community haunted by the legacy of a Civil War massacre, a rebellious young man struggles to escape the violence that would bind him to the past.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTQ0MjgxMzExNl5BMl5BanBnXkFtZTgwMTkwNjI0MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,5.5,"1,698",tt2420166,movie,17 Feb 2015,N/A,Millennium Entertainment,http://www.theworldmadestraightmovie.com/,True
6,Star Wars: Episode I - The Phantom Menace,1999,PG,19 May 1999,136 min,"Action, Adventure, Fantasy, Sci-Fi",George Lucas,George Lucas,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd","Two Jedi Knights escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their old glory.",English,USA,Nominated for 3 Oscars. Another 26 wins & 65 nominations.,https://m.media-amazon.com/images/M/MV5BYTRhNjcwNWQtMGJmMi00NmQyLWE2YzItODVmMTdjNWI0ZDA2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.5,"643,199",tt0120915,movie,16 Oct 2001,"$431,000,000",20th Century Fox,http://www.starwars.com/episode-i/,True
7,Wild Card,2015,R,14 Jan 2015,92 min,"Action, Crime, Drama, Thriller",Simon West,"William Goldman (based on the novel ""Heat"" by), William Goldman (screenplay by)","Jason Statham, Michael Angarano, Dominik García-Lorido, Hope Davis","When a Las Vegas bodyguard with lethal skills and a gambling problem gets in trouble with the mob, he has one last play...and it's all or nothing.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjAyNjkyOTgzNF5BMl5BanBnXkFtZTgwMTk0MDc2MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,5.6,"45,762",tt2231253,movie,31 Mar 2015,N/A,The Film Arcade,N/A,True
8,Aambala,2015,NOT RATED,15 Jan 2015,146 min,"Action, Comedy",Sundar C.,"Sundar C. (screenplay), Venkat Raghavan (dialogue), S.B. Ramadas (story), Udhayan","Vishal, Hansika Motwani, Prabhu, Vaibhav Reddy","Saravanan and his two brothers go to their native village to make peace between their estranged father and three aunts, who hate their brother for having murdered their father.",Tamil,India,N/A,https://m.media-amazon.com/images/M/MV5BZDI1ZmYzNjItZWRhMi00Y2M3LWE4N2QtYTI2ZmNhYzQwMzIxXkEyXkFqcGdeQXVyODk4ODEyMjk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]",N/A,4.3,675,tt4312676,movie,N/A,N/A,N/A,N/A,True
9,Darling,1965,TV-MA,03 Aug 1965,128 min,"Drama, Romance",John Schlesinger,"Frederic Raphael (screenplay), Frederic Raphael (idea), John Schlesinger (idea), Joseph Janni (idea)","Julie Christie, Laurence Harvey, Dirk Bogarde, José Luis de Vilallonga",A beautiful but amoral model sleeps her way to the top of the London fashion scene at the height of the Swinging Sixties.,English,UK,Won 3 Oscars. Another 15 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BOTYyMThlNWEtMmQxYi00ZDU4LWI3NzQtOTZiMTFkOGJkMmI0XkEyXkFqcGdeQXVyOTI2MjI5MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}]",N/A,7.2,"5,153",tt0059084,movie,02 Dec 2003,N/A,Lionsgate,N/A,True
